Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,FunctionalGroup,Species,Classification STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.571428571,,,1.133893419,0.25,,,0.46291005,7,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.125,,,0.353553391,0.25,,,0.46291005,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.166666667,,,0.40824829,0.125,,,0.353553391,6,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,0.786795792,0.125,,,0.353553391,7,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.166666667,,,0.40824829,0,,,0,6,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,0.786795792,0,,,0,7,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.125,,,0.353553391,0,,,0,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0,,,0,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.125,,,0.353553391,0.125,,,0.353553391,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0.125,,,0.353553391,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.571428571,,,1.133893419,0.125,,,0.353553391,7,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.125,,,0.353553391,0.25,,,0.46291005,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0,,,0,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Perspex,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0.125,,,0.353553391,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.571428571,,,1.133893419,0.166666667,,,0.40824829,7,6,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.125,,,0.353553391,0.428571429,,,0.786795792,8,7,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0.125,,,0.353553391,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Perspex,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0,,,0,8,8,Abundance,Invertebrates,Bryozoans,Osthimosia glomerata,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,0,,,0,7,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.534522484,0,,,0,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,0.375,,,0.744023809,7,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.534522484,0.375,,,0.744023809,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.666666667,,,1.211060142,0.125,,,0.353553391,6,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,0.125,,,0.353553391,7,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.666666667,,,1.211060142,1.875,,,1.125991626,6,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,1.875,,,1.125991626,7,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0,,,0,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0,,,0,0.625,,,0.744023809,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.25,,,0.46291005,0.625,,,0.744023809,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,0,,,0,7,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.534522484,0.25,,,0.46291005,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.375,,,0.744023809,0.625,,,0.744023809,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.428571429,,,1.133893419,0.666666667,,,1.211060142,7,6,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.534522484,0.428571429,,,1.133893419,8,7,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0,,,0,0.125,,,0.353553391,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Perspex,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.375,,,0.744023809,1.875,,,1.125991626,8,8,Abundance,Invertebrates,Anthozoans,Plesiastrea versipora,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13.57142857,,,4.429339411,13,,,21.07808612,7,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.125,,,2.167124494,13,,,21.07808612,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13.57142857,,,4.429339411,16,,,8.280786712,7,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.125,,,2.167124494,16,,,8.280786712,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,21.83333333,,,17.31377101,17.875,,,22.88129305,6,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.42857143,,,7.892129895,17.875,,,22.88129305,7,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,21.83333333,,,17.31377101,19.875,,,15.8243709,6,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.42857143,,,7.892129895,19.875,,,15.8243709,7,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.75,,,5.625198409,8,,,4.840306956,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.75,,,4.234214382,8,,,4.840306956,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,10.75,,,5.625198409,14,,,10.37854931,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.75,,,4.234214382,14,,,10.37854931,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,vertical,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13.57142857,,,4.429339411,10.75,,,5.625198409,7,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.125,,,2.167124494,4.75,,,4.234214382,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13,,,21.07808612,8,,,4.840306956,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Perspex,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,16,,,8.280786712,14,,,10.37854931,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,vertical,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_upvert,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13.57142857,,,4.429339411,21.83333333,,,17.31377101,7,6,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Sandstone,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.125,,,2.167124494,10.42857143,,,7.892129895,8,7,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Wood,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,13,,,21.07808612,17.875,,,22.88129305,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Perspex,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,16,,,8.280786712,19.875,,,15.8243709,8,8,Abundance,Invertebrates,Polychaetes,Spirobranchus,N,0.0121,0.001936,,upfacing,downfacing,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Orientation,Steel,,fixed,,Unshaded,No,raw data supplied,,,Orientation_updown,Pomatoceros in dataset,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.285714286,,,8.380817098,4.5,,,9.365590516,7,8,Abundance,Invertebrates,Polychaetes,Salmacina australis,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.755928946,4.5,,,9.365590516,8,8,Abundance,Invertebrates,Polychaetes,Salmacina australis,N,0.0121,0.001936,,Wood,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Steel,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,4.285714286,,,8.380817098,3.125,,,6.151364541,7,8,Abundance,Invertebrates,Polychaetes,Salmacina australis,N,0.0121,0.001936,,Rock,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,0.5,,,0.755928946,3.125,,,6.151364541,8,8,Abundance,Invertebrates,Polychaetes,Salmacina australis,N,0.0121,0.001936,,Wood,Polymer,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,upfacing,fixed,,Unshaded,No,raw data supplied,Wood,Perspex,,,,
Ushiama et al._2016,Ushiama et al.,2016,Biofouling,N,24.66666667,,,48.38870392,5.625,,,12.0586365,6,8,Abundance,Invertebrates,Polychaetes,Salmacina australis,N,0.0121,0.001936,,Rock,Metal,33 metres,33,Y,Exp1,Sydney Harbour,3 months,91.2501,13.03572,3,2012,December,33o50.797' S,151o17.988' E,Australia,Substrate,,downfacing,fixed,,Unshaded,No,raw data supplied,Sandstone,Steel,,,,
