,Effect_ID,Study,Author,Year,Journal,Study.on.NIS.,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification.STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End..Y.N.,Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year..start.,Month..start.,Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded.Unshaded,Shading.held.constant,Source.of.data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3,Study_Experiment,Study_Location,Study_Experiment_Duration,Feature_Classification,Feature_TaxonomicGroup,TaxonomicGroup_Classification,Feature_TaxonomicGroup_Classification,Exp_ID,num_instances,Feature_Study,Feature_Study_Location,Feature_Study_Experiment_Duration,Feature_Species,Feature_Species_Classification,unique_types,reducedReplicatesControl,reducedReplicatesTreatment,yi,vi,Phylogeny
959,278,Glasby_2001,Glasby,2001,MEPS,No,0.0058,NA,NA,0.014,0.1,NA,NA,0.223606798,5,5,PercentageCover,Algae,Algae,Dictyota dichotoma,NIS,0.0225,0.0169,NA,Fixed,Floating,2.5-3.5m,2.5-3.5,Y,Exp3,"Sydney Harbour, Site 2",202 days,202,28.85714286,6.641092979,1999,May,33.8462° S,151.2489° E,Australia,Movement,Sandstone,Vertical,,Yes,Unshaded,No,"raw data supplied and used, left out averaged where data was lost and adjusted number of replicates",,,,Time 3,,,Glasby_2001_Exp3,"Glasby_2001_Sydney Harbour, Site 2",Glasby_2001_Exp3_202 days,Movement_NIS,Movement_Algae,Algae_NIS,Movement_Algae_NIS,499,1,Movement_Glasby_2001,"Movement_Glasby_2001_Sydney Harbour, Site 2",Movement_Glasby_2001_Exp3_202 days,Movement_Dictyota dichotoma,Movement_Dictyota dichotoma_NIS,1,5,5,1.423813195,5.414979396,Dictyota dichotoma
980,299,Glasby_2001,Glasby,2001,MEPS,No,0.1,NA,NA,0.223606798,0.0058,NA,NA,0.014,5,5,PercentageCover,Algae,Algae,Phycodrys australasica,N,0.0225,0.0169,NA,Fixed,Floating,2.5-3.5m,2.5-3.5,Y,Exp4,"Sydney Harbour, Site 2",205 days,205,29.28571429,6.739723073,1999,May,33.8462° S,151.2489° E,Australia,Movement,Sandstone,Vertical,,Yes,Unshaded,No,"raw data supplied and used, left out averaged where data was lost and adjusted number of replicates",,,,Time 4,,,Glasby_2001_Exp4,"Glasby_2001_Sydney Harbour, Site 2",Glasby_2001_Exp4_205 days,Movement_N,Movement_Algae,Algae_N,Movement_Algae_N,531,1,Movement_Glasby_2001,"Movement_Glasby_2001_Sydney Harbour, Site 2",Movement_Glasby_2001_Exp4_205 days,Movement_Phycodrys australasica,Movement_Phycodrys australasica_N,1,5,5,-1.423813195,5.414979396,Phycodrys australasica
988,307,Glasby_2001,Glasby,2001,MEPS,No,0.0058,NA,NA,0.014,0.1,NA,NA,0.223606798,5,5,PercentageCover,Invertebrates,Polychaetes,Galeolaria,N,0.0225,0.0169,NA,Fixed,Floating,2.5-3.5m,2.5-3.5,Y,Exp1,"Sydney Harbour, Site 1",204 days,204,29.14285714,6.706846375,1999,April,33.8462° S,151.2489° E,Australia,Movement,Sandstone,Vertical,,Yes,Unshaded,No,"raw data supplied and used, left out averaged where data was lost and adjusted number of replicates",,,,Time 1,,,Glasby_2001_Exp1,"Glasby_2001_Sydney Harbour, Site 1",Glasby_2001_Exp1_204 days,Movement_N,Movement_Polychaetes,Polychaetes_N,Movement_Polychaetes_N,458,1,Movement_Glasby_2001,"Movement_Glasby_2001_Sydney Harbour, Site 1",Movement_Glasby_2001_Exp1_204 days,Movement_Galeolaria caespitosa,Movement_Galeolaria caespitosa_N,1,5,5,1.423813195,5.414979396,Galeolaria
1016,335,Glasby_2001,Glasby,2001,MEPS,No,0.0058,NA,NA,0.014,0.1,NA,NA,0.223606798,5,5,PercentageCover,Invertebrates,Polychaetes,Spirobranchus,N,0.0225,0.0169,NA,Fixed,Floating,2.5-3.5m,2.5-3.5,Y,Exp1,"Sydney Harbour, Site 1",204 days,204,29.14285714,6.706846375,1999,April,33.8462° S,151.2489° E,Australia,Movement,Sandstone,Vertical,,Yes,Unshaded,No,"raw data supplied and used, left out averaged where data was lost and adjusted number of replicates",,,,Time 1,,,Glasby_2001_Exp1,"Glasby_2001_Sydney Harbour, Site 1",Glasby_2001_Exp1_204 days,Movement_N,Movement_Polychaetes,Polychaetes_N,Movement_Polychaetes_N,468,1,Movement_Glasby_2001,"Movement_Glasby_2001_Sydney Harbour, Site 1",Movement_Glasby_2001_Exp1_204 days,Movement_Spirobranchus,Movement_Spirobranchus_N,1,5,5,1.423813195,5.414979396,Spirobranchus
1018,337,Glasby_2001,Glasby,2001,MEPS,No,0.0058,NA,NA,0.014,0.1,NA,NA,0.223606798,5,5,PercentageCover,Algae,Algae,Zonaria (genus in subkingdom SAR),N,0.0225,0.0169,NA,Fixed,Floating,2.5-3.5m,2.5-3.5,Y,Exp4,"Sydney Harbour, Site 2",205 days,205,29.28571429,6.739723073,1999,May,33.8462° S,151.2489° E,Australia,Movement,Sandstone,Vertical,,Yes,Unshaded,No,"raw data supplied and used, left out averaged where data was lost and adjusted number of replicates",,,,Time 4,,,Glasby_2001_Exp4,"Glasby_2001_Sydney Harbour, Site 2",Glasby_2001_Exp4_205 days,Movement_N,Movement_Algae,Algae_N,Movement_Algae_N,538,1,Movement_Glasby_2001,"Movement_Glasby_2001_Sydney Harbour, Site 2",Movement_Glasby_2001_Exp4_205 days,Movement_Zonaria,Movement_Zonaria_N,1,5,5,1.423813195,5.414979396,Zonaria (genus in subkingdom SAR)
831,150,Dafforn et al._2012,Dafforn et al.,2012,PlosOne,Y,0.0058,NA,NA,0.014,0.082644628,NA,NA,0.184799006,5,5,PercentageCover,Invertebrates,Ascidians,Diplosoma (genus in Bilateria),NIS,0.15,0.15,NA,upfacing,vertical,1m below MLWS,1,Y,Exp1,"Port Jackson, Balmain",8 months,243.3336,34.76192,8,2007,November,33o50' S,151o22' E,Australia,Orientation,Sandstone,,fixed,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,,,Dafforn et al._2012_Exp1,"Dafforn et al._2012_Port Jackson, Balmain",Dafforn et al._2012_Exp1_8 months,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,313,2,Orientation_Dafforn et al._2012,"Orientation_Dafforn et al._2012_Port Jackson, Balmain",Orientation_Dafforn et al._2012_Exp1_8 months,Orientation_Diplosoma listerianum,Orientation_Diplosoma listerianum_NIS,1,5,5,1.32847407,5.414689654,Diplosoma (genus in Bilateria)
838,157,Dafforn et al._2012,Dafforn et al.,2012,PlosOne,Y,0.082644628,NA,NA,0.184799006,0.0058,NA,NA,0.014,5,5,PercentageCover,Invertebrates,Ascidians,Pyura gangelion,N,0.15,0.15,NA,upfacing,vertical,1m below MLWS,1,Y,Exp2,"Port Jackson, Fig Tree Point",8 months,243.3336,34.76192,8,2007,November,33o50' S,151o22' E,Australia,Orientation,Sandstone,,fixed,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,,,Dafforn et al._2012_Exp2,"Dafforn et al._2012_Port Jackson, Fig Tree Point",Dafforn et al._2012_Exp2_8 months,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,338,1,Orientation_Dafforn et al._2012,"Orientation_Dafforn et al._2012_Port Jackson, Fig Tree Point",Orientation_Dafforn et al._2012_Exp2_8 months,Orientation_Pyura gangelion,Orientation_Pyura gangelion_N,1,5,5,-1.32847407,5.414689654,Pyura gangelion
844,163,Dafforn et al._2012,Dafforn et al.,2012,PlosOne,Y,0.0058,NA,NA,0.014,0.082644628,NA,NA,0.184799006,5,5,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,N,0.15,0.15,NA,upfacing,vertical,1m below MLWS,1,Y,Exp1,"Port Jackson, Balmain",8 months,243.3336,34.76192,8,2007,November,33o50' S,151o22' E,Australia,Orientation,Sandstone,,fixed,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,,,Dafforn et al._2012_Exp1,"Dafforn et al._2012_Port Jackson, Balmain",Dafforn et al._2012_Exp1_8 months,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,322,2,Orientation_Dafforn et al._2012,"Orientation_Dafforn et al._2012_Port Jackson, Balmain",Orientation_Dafforn et al._2012_Exp1_8 months,Orientation_Tricellaria inopinata,Orientation_Tricellaria inopinata_N,1,5,5,1.32847407,5.414689654,Tricellaria inopinata
856,175,Dafforn et al._2012,Dafforn et al.,2012,PlosOne,Y,0.0058,NA,NA,0.014,0.082644628,NA,NA,0.184799006,5,5,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,0.15,0.15,NA,upfacing,vertical,1m below MLWS,1,Y,Exp2,"Port Jackson, Fig Tree Point",8 months,243.3336,34.76192,8,2007,November,33o50' S,151o22' E,Australia,Orientation,Sandstone,,fixed,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,species name from supp,,Dafforn et al._2012_Exp2,"Dafforn et al._2012_Port Jackson, Fig Tree Point",Dafforn et al._2012_Exp2_8 months,Orientation_NIS,Orientation_Bryozoans,Bryozoans_NIS,Orientation_Bryozoans_NIS,337,1,Orientation_Dafforn et al._2012,"Orientation_Dafforn et al._2012_Port Jackson, Fig Tree Point",Orientation_Dafforn et al._2012_Exp2_8 months,Orientation_Microporella coronata,Orientation_Microporella coronata_NIS,1,5,5,1.32847407,5.414689654,Microporella coronata
1422,1381,Rico et al._2012,Rico et al.,2012,Helgoland Marine Research,N,0.0058,NA,0,0.014,1.2,NA,1,2,4,4,PercentageCover,Invertebrates,Ascidians,Molgula manhattensis,NIS,400cm2,100cm2,NA,upfacing,downfacing,4m,4,N,Exp1,Comodoro Rivadavia harbour,6 months,182.5002,26.07144,6,2004,January,"45°51'35""S","67°27'23""W",Argentina,Orientation,Polyethylene,,Fixed,Yes,Unshaded,No,Supplementary,,,Orientation_updown,,,,Rico et al._2012_Exp1,Rico et al._2012_Comodoro Rivadavia harbour,Rico et al._2012_Exp1_6 months,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,880,1,Orientation_Rico et al._2012,Orientation_Rico et al._2012_Comodoro Rivadavia harbour,Orientation_Rico et al._2012_Exp1_6 months,Orientation_Molgula manhattensis,Orientation_Molgula manhattensis_NIS,1,4,4,2.668108651,5.39179075,Molgula manhattensis
1436,1395,Rico et al._2012,Rico et al.,2012,Helgoland Marine Research,N,0.0058,NA,0,0.014,1.2,NA,1,2,4,4,PercentageCover,Invertebrates,Bryozoans,Bugula (genus in Opisthokonta),NIS,400cm2,100cm2,NA,upfacing,downfacing,4m,4,Y,Exp2,Comodoro Rivadavia harbour,12 months,365.0004,52.14288,12,2004,April,"45°51'35""S","67°27'23""W",Argentina,Orientation,Polyethylene,,Fixed,Yes,Unshaded,No,Supplementary,,,Orientation_updown,,,,Rico et al._2012_Exp2,Rico et al._2012_Comodoro Rivadavia harbour,Rico et al._2012_Exp2_12 months,Orientation_NIS,Orientation_Bryozoans,Bryozoans_NIS,Orientation_Bryozoans_NIS,890,1,Orientation_Rico et al._2012,Orientation_Rico et al._2012_Comodoro Rivadavia harbour,Orientation_Rico et al._2012_Exp2_12 months,Orientation_Bugula flabellata,Orientation_Bugula flabellata_NIS,1,4,4,2.668108651,5.39179075,Bugula (genus in Opisthokonta)
2398,2398,Lee_2018,Lee,2018,Thesis,Y,8,NA,NA,17.7087549,6.333333333,NA,NA,9.831920803,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma (genus in Bilateria),NIS,0.0121,0.01,NA,Wood,Polymer,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,,,Lee_2018_Exp14,Lee_2018_Wirrina Cove,Lee_2018_Exp14_13 weeks,Substrate_NIS,Substrate_Ascidians,Ascidians_NIS,Substrate_Ascidians_NIS,725,6,Substrate_Lee_2018,Substrate_Lee_2018_Wirrina Cove,Substrate_Lee_2018_Exp14_13 weeks,Substrate_Diplosoma,Substrate_Diplosoma_NIS,1,3,6,-0.119740467,5.367199673,Diplosoma (genus in Bilateria)
2448,2448,Lee_2018,Lee,2018,Thesis,Y,0.0058,NA,NA,0.014,1,NA,NA,1.095445115,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides,NIS,0.0121,0.01,NA,Wood,Polymer,1m,1,Y,Exp7,North Haven,13 weeks,91,13,2.99177951,2015,September,"35°30'5""S","138°14'38""E",Australia,Substrate,,vertical,floating,,,,raw data supplied,Wood,Acrylic,,,,,Lee_2018_Exp7,Lee_2018_North Haven,Lee_2018_Exp7_13 weeks,Substrate_NIS,Substrate_Polychaetes,Polychaetes_NIS,Substrate_Polychaetes_NIS,811,4,Substrate_Lee_2018,Substrate_Lee_2018_North Haven,Substrate_Lee_2018_Exp7_13 weeks,Substrate_Hydroides elegans,Substrate_Hydroides elegans_NIS,1,3,6,2.576611826,5.358882324,Hydroides
2066,2066,Lee_2018,Lee,2018,Thesis,Y,0.666666667,NA,NA,1.632993162,80,NA,NA,28.08558349,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,0.0121,0.01,NA,upfacing,vertical,1m,1,Y,Exp13,Wirrina Cove,13 weeks,91,13,2.99177951,2016,March,"35°30'5""S","138°14'38""E",Australia,Orientation,Wood,,floating,,,,raw data supplied,,,Orientation_updown,,,,Lee_2018_Exp13,Lee_2018_Wirrina Cove,Lee_2018_Exp13_13 weeks,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,706,4,Orientation_Lee_2018,Orientation_Lee_2018_Wirrina Cove,Orientation_Lee_2018_Exp13_13 weeks,Orientation_Ciona intestinalis,Orientation_Ciona intestinalis_NIS,2,3,3,2.605991797,5.357517608,Ciona intestinalis
1753,1753,Lee_2018,Lee,2018,Thesis,Y,0.0058,NA,NA,0.014,0.0058,NA,NA,0.014,6,5,PercentageCover,Invertebrates,Bryozoans,Cryptosula pallasiana,NIS,0.0121,0.01,NA,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_updown,,,,Lee_2018_Exp1,Lee_2018_North Haven Harbour,Lee_2018_Exp1_9 weeks,Orientation_NIS,Orientation_Bryozoans,Bryozoans_NIS,Orientation_Bryozoans_NIS,664,3,Orientation_Lee_2018,Orientation_Lee_2018_North Haven Harbour,Orientation_Lee_2018_Exp1_9 weeks,Orientation_Cryptosula pallasiana,Orientation_Cryptosula pallasiana_NIS,1,6,5,0,5.341070575,Cryptosula pallasiana
1834,1834,Lee_2018,Lee,2018,Thesis,Y,12.33333333,NA,NA,30.21037349,6,NA,NA,14.69693846,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,0.0121,0.01,NA,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,,,Lee_2018_Exp5,Lee_2018_Wirrina Cove,Lee_2018_Exp5_9 weeks,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,780,3,Orientation_Lee_2018,Orientation_Lee_2018_Wirrina Cove,Orientation_Lee_2018_Exp5_9 weeks,Orientation_Ciona intestinalis,Orientation_Ciona intestinalis_NIS,1,6,6,-0.371599416,5.337117047,Ciona intestinalis
2456,2456,Lee_2018,Lee,2018,Thesis,Y,2,NA,NA,4.898979486,1.333333333,NA,NA,1.032795559,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides,NIS,0.0121,0.01,NA,Wood,Polymer,1m,1,Y,Exp9,North Haven,13 weeks,91,13,2.99177951,2016,March,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Acrylic,,,,,Lee_2018_Exp9,Lee_2018_North Haven,Lee_2018_Exp9_13 weeks,Substrate_NIS,Substrate_Polychaetes,Polychaetes_NIS,Substrate_Polychaetes_NIS,835,6,Substrate_Lee_2018,Substrate_Lee_2018_North Haven,Substrate_Lee_2018_Exp9_13 weeks,Substrate_Hydroides elegans,Substrate_Hydroides elegans_NIS,1,3,6,-0.203857438,5.320139031,Hydroides
1349,1286,Tyrell and Byers_2007,Tyrell and Byers,2007,Journal of Experimental Marine Biology and Ecology,Y,7.18919,12.8649,5.67571,11.35142,43.5135,66.2162,22.7027,45.4054,4,4,PercentageCover,Invertebrates,Ascidians,Botrylloides violaceus,NIS,0.01,0.0068,NA,Rock,Polymer,3m,3,Y,Exp1,"Wells, Maine",5 months,152.0835,21.7262,5,2004,May,43.3222° N,70.5805° W,USA,Substrate,,downfacing,floating,,,,Figure 4a,Marble,PVC,,,,,Tyrell and Byers_2007_Exp1,"Tyrell and Byers_2007_Wells, Maine",Tyrell and Byers_2007_Exp1_5 months,Substrate_NIS,Substrate_Ascidians,Ascidians_NIS,Substrate_Ascidians_NIS,955,12,Substrate_Tyrell and Byers_2007,"Substrate_Tyrell and Byers_2007_Wells, Maine",Substrate_Tyrell and Byers_2007_Exp1_5 months,Substrate_Botrylloides violaceus,Substrate_Botrylloides violaceus_NIS,2,2,2,0.975966554,5.296661197,Botrylloides violaceus
1425,1384,Rico et al._2012,Rico et al.,2012,Helgoland Marine Research,N,0.0058,NA,0,0.014,3,NA,2.4,4.8,4,4,PercentageCover,Invertebrates,Ascidians,Molgula manhattensis,NIS,400cm2,100cm2,NA,upfacing,downfacing,4m,4,Y,Exp2,Comodoro Rivadavia harbour,12 months,365.0004,52.14288,12,2004,April,"45°51'35""S","67°27'23""W",Argentina,Orientation,Polyethylene,,Fixed,Yes,Unshaded,No,Supplementary,,,Orientation_updown,,,,Rico et al._2012_Exp2,Rico et al._2012_Comodoro Rivadavia harbour,Rico et al._2012_Exp2_12 months,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,892,1,Orientation_Rico et al._2012,Orientation_Rico et al._2012_Comodoro Rivadavia harbour,Orientation_Rico et al._2012_Exp2_12 months,Orientation_Molgula manhattensis,Orientation_Molgula manhattensis_NIS,1,4,4,3.129301086,5.274528261,Molgula manhattensis
1579,1579,Becker et al_2020/2021,Becker et al,NA,Marine EnvironmentalHelgoland Marine Research,N,1.666666667,NA,NA,1.154700538,0.0058,NA,NA,0.014,3,3,PercentageCover,Algae,Algae,Petalonia fascia,N,15x15cm,10x10cm,NA,upfacing,vertical,1.5m,1.5,,Exp4,JadeWeserPort,12 months,365.0004,52.14288,12,2017,April,,,Germany,Orientation,Concrete,,Floating,Yes,Unshaded,,,,,Orientation_upvert,Back,Material 4,,Becker et al_2020/2021_Exp4,Becker et al_2020/2021_JadeWeserPort,Becker et al_2020/2021_Exp4_12 months,Orientation_N,Orientation_Algae,Algae_N,Orientation_Algae_N,73,2,Orientation_Becker et al_2020/2021,Orientation_Becker et al_2020/2021_JadeWeserPort,Orientation_Becker et al_2020/2021_Exp4_12 months,Orientation_Petalonia fascia,Orientation_Petalonia fascia_N,1,3,3,-2.833146737,5.260030883,Petalonia fascia
1584,1584,Becker et al_2020/2021,Becker et al,NA,Marine EnvironmentalHelgoland Marine Research,N,0.0058,NA,NA,0.014,1.666666667,NA,NA,1.154700538,3,3,PercentageCover,Invertebrates,Bryozoans,Plagioecia,N,15x15cm,10x10cm,NA,upfacing,vertical,1.5m,1.5,,Exp2,JadeWeserPort,12 months,365.0004,52.14288,12,2017,April,,,Germany,Orientation,Concrete,,Floating,Yes,Unshaded,,,,,Orientation_upvert,Front,Material 2,,Becker et al_2020/2021_Exp2,Becker et al_2020/2021_JadeWeserPort,Becker et al_2020/2021_Exp2_12 months,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,42,2,Orientation_Becker et al_2020/2021,Orientation_Becker et al_2020/2021_JadeWeserPort,Orientation_Becker et al_2020/2021_Exp2_12 months,Orientation_Plagioecia patina,Orientation_Plagioecia patina_N,1,3,3,2.833146737,5.260030883,Plagioecia
1586,1586,Becker et al_2020/2021,Becker et al,NA,Marine EnvironmentalHelgoland Marine Research,N,0.0058,NA,NA,0.014,1.666666667,NA,NA,1.154700538,3,3,PercentageCover,Invertebrates,Bryozoans,Plagioecia,N,15x15cm,10x10cm,NA,upfacing,vertical,1.5m,1.5,,Exp3,JadeWeserPort,12 months,365.0004,52.14288,12,2017,April,,,Germany,Orientation,Concrete,,Floating,Yes,Unshaded,,,,,Orientation_upvert,Front,Material 3,,Becker et al_2020/2021_Exp3,Becker et al_2020/2021_JadeWeserPort,Becker et al_2020/2021_Exp3_12 months,Orientation_N,Orientation_Bryozoans,Bryozoans_N,Orientation_Bryozoans_N,57,2,Orientation_Becker et al_2020/2021,Orientation_Becker et al_2020/2021_JadeWeserPort,Orientation_Becker et al_2020/2021_Exp3_12 months,Orientation_Plagioecia patina,Orientation_Plagioecia patina_N,1,3,3,2.833146737,5.260030883,Plagioecia
1508,1467,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.0058,NA,0,0.014,10.67,NA,4.04,6.997485263,3,3,PercentageCover,Invertebrates,Ascidians,Ascidia conchilega,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,363 days,363,51.85714286,11.9342335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_363 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,555,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_363 days,Orientation_Ascidia conchilega,Orientation_Ascidia conchilega_N,1,3,3,3.777180136,5.242141641,Ascidia conchilega
1895,1895,Lee_2018,Lee,2018,Thesis,Y,1.333333333,NA,NA,2.804757862,4.5,NA,NA,8.432081594,6,6,PercentageCover,Invertebrates,Bryozoans,Cryptosula pallasiana,NIS,0.0121,0.01,NA,Wood,Polymer,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,2013,February,"34°47'9""S","138°29'15""E",Australia,Substrate,,vertical,floating,,Shaded,Yes,raw data supplied,Wood,Acrylic,,,,,Lee_2018_Exp2,Lee_2018_North Haven Harbour,Lee_2018_Exp2_9 weeks,Substrate_NIS,Substrate_Bryozoans,Bryozoans_NIS,Substrate_Bryozoans_NIS,741,4,Substrate_Lee_2018,Substrate_Lee_2018_North Haven Harbour,Substrate_Lee_2018_Exp2_9 weeks,Substrate_Cryptosula pallasiana,Substrate_Cryptosula pallasiana_NIS,1,3,6,0.613591408,5.229384531,Cryptosula pallasiana
2307,2307,Lee_2018,Lee,2018,Thesis,Y,0.0058,NA,NA,0.014,3,NA,NA,2.75680975,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,0.0121,0.01,NA,Wood,Concrete,1m,1,Y,Exp14,Wirrina Cove,13 weeks,91,13,2.99177951,2016,June,"35°30'5""S","138°14'38""E",Australia,Substrate,,downfacing,floating,,,,raw data supplied,Wood,Cement,,,,,Lee_2018_Exp14,Lee_2018_Wirrina Cove,Lee_2018_Exp14_13 weeks,Substrate_NIS,Substrate_Bryozoans,Bryozoans_NIS,Substrate_Bryozoans_NIS,731,6,Substrate_Lee_2018,Substrate_Lee_2018_Wirrina Cove,Substrate_Lee_2018_Exp14_13 weeks,Substrate_Watersipora subtorquata,Substrate_Watersipora subtorquata_NIS,1,3,6,3.129301086,5.214603142,Watersipora subtorquata
1220,994,Chase_2015,Chase,2015,Thesis,Y,0.6,NA,0.6,1.469693846,3.4,NA,0.9273618,2.271563217,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,N,0.01,0.0064,NA,Rock,Concrete,NA,NA,N,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",18 weeks,126,18,4.142463938,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Concrete,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_18 weeks,Substrate_N,Substrate_Ascidians,Ascidians_N,Substrate_Ascidians_N,124,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_18 weeks,Substrate_Botryllus schlosseri,Substrate_Botryllus schlosseri_N,1,3,6,0.872036986,5.21044373,Botryllus schlosseri
1268,1042,Chase_2015,Chase,2015,Thesis,Y,0.2,NA,0.2,0.489897949,5.2,NA,1.356466,3.322649553,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides violaceus,NIS,0.01,0.0064,NA,Rock,Concrete,NA,NA,N,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",14 weeks,98,14,3.221916396,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Concrete,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_14 weeks,Substrate_NIS,Substrate_Ascidians,Ascidians_NIS,Substrate_Ascidians_NIS,113,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_14 weeks,Substrate_Botrylloides violaceus,Substrate_Botrylloides violaceus_NIS,1,3,6,1.637551506,5.182984762,Botrylloides violaceus
1242,1016,Chase_2015,Chase,2015,Thesis,Y,0.8,NA,0.58309519,1.428285687,0.4,NA,0.4,0.979795897,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus edulis,N,0.01,0.0064,NA,Rock,Polymer,NA,NA,N,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",14 weeks,98,14,3.221916396,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Polymer,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_14 weeks,Substrate_N,Substrate_Bivalves,Bivalves_N,Substrate_Bivalves_N,157,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_14 weeks,Substrate_Mytilus edulis,Substrate_Mytilus edulis_N,1,3,6,-0.347243205,5.177210206,Mytilus edulis
